123456789012;100,50;10,05
234567890123;250,75;25,08
123456789012;200,00;30,00
234567890123;150,25;22,54
123456789012;50,25;7,54
345678901234;300,00;45,00
456789012345;400,75;60,11
345678901234;100,00;10,00
456789012345;200,50;22,06
345678901234;150,25;18,03
567890123456;500,00;55,00
678901234567;600,75;66,08
567890123456;300,00;36,00
678901234567;400,25;44,03
567890123456;200,50;24,06
789012345678;700,00;77,00
890123456789;800,75;96,09
789012345678;300,00;33,00
890123456789;400,25;48,03
789012345678;200,50;22,05
